"year"," month","carrier","carrier_name","airport","airport_name","arr_flights","arr_del15","carrier_ct"," weather_ct","nas_ct","security_ct","late_aircraft_ct","arr_cancelled","arr_diverted"," arr_delay"," carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay",
2021,2,"9E","Endeavor Air Inc.","ABE","Allentown/Bethlehem/Easton, PA: Lehigh Valley International",106.00,7.00,3.12,0.49,1.51,0.00,1.88,7.00,0.00,688.00,216.00,52.00,75.00,0.00,345.00,
2021,2,"9E","Endeavor Air Inc.","ABY","Albany, GA: Southwest Georgia Regional",78.00,7.00,3.79,0.26,2.42,0.00,0.53,0.00,0.00,253.00,126.00,9.00,108.00,0.00,10.00,
2021,2,"9E","Endeavor Air Inc.","AEX","Alexandria, LA: Alexandria International",70.00,3.00,0.79,0.99,0.75,0.00,0.46,13.00,0.00,951.00,19.00,869.00,39.00,0.00,24.00,
2021,2,"9E","Endeavor Air Inc.","AGS","Augusta, GA: Augusta Regional at Bush Field",162.00,10.00,6.94,1.00,0.00,0.00,2.06,0.00,0.00,904.00,297.00,473.00,0.00,0.00,134.00,
2021,2,"9E","Endeavor Air Inc.","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International",4985.00,395.00,111.57,27.40,128.85,0.47,126.71,156.00,1.00,31195.00,12840.00,3096.00,4454.00,8.00,10797.00,
2021,2,"9E","Endeavor Air Inc.","ATW","Appleton, WI: Appleton International",170.00,22.00,6.50,1.07,10.95,0.00,3.47,2.00,0.00,2292.00,332.00,726.00,340.00,0.00,894.00,
2021,2,"9E","Endeavor Air Inc.","AVL","Asheville, NC: Asheville Regional",126.00,7.00,4.09,0.00,1.00,0.00,1.91,0.00,0.00,348.00,107.00,0.00,163.00,0.00,78.00,
2021,2,"9E","Endeavor Air Inc.","AZO","Kalamazoo, MI: Kalamazoo/Battle Creek International",84.00,10.00,4.05,1.21,3.97,0.00,0.77,2.00,1.00,1245.00,141.00,803.00,99.00,0.00,202.00,
2021,2,"9E","Endeavor Air Inc.","BDL","Hartford, CT: Bradley International",128.00,20.00,4.44,1.09,12.77,0.00,1.69,5.00,0.00,781.00,298.00,56.00,358.00,0.00,69.00,
2021,2,"9E","Endeavor Air Inc.","BGM","Binghamton, NY: Greater Binghamton/Edwin A. Link Field",28.00,4.00,1.00,0.00,1.00,0.00,2.00,0.00,1.00,278.00,32.00,0.00,22.00,0.00,224.00,
2021,2,"9E","Endeavor Air Inc.","BHM","Birmingham, AL: Birmingham-Shuttlesworth International",126.00,14.00,11.65,0.00,0.56,0.00,1.79,0.00,0.00,503.00,379.00,0.00,10.00,0.00,114.00,
2021,2,"9E","Endeavor Air Inc.","BMI","Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",72.00,2.00,0.03,0.00,0.31,0.00,1.65,1.00,1.00,110.00,2.00,0.00,16.00,0.00,92.00,
2021,2,"9E","Endeavor Air Inc.","BOS","Boston, MA: Logan International",40.00,2.00,0.00,0.00,1.00,0.00,1.00,4.00,0.00,84.00,0.00,0.00,66.00,0.00,18.00,
2021,2,"9E","Endeavor Air Inc.","BQK","Brunswick, GA: Brunswick Golden Isles",70.00,5.00,3.09,0.00,0.94,0.00,0.97,0.00,1.00,278.00,211.00,0.00,35.00,0.00,32.00,
2021,2,"9E","Endeavor Air Inc.","BTR","Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",98.00,7.00,2.41,1.41,3.18,0.00,0.00,6.00,0.00,271.00,117.00,72.00,82.00,0.00,0.00,
2021,2,"9E","Endeavor Air Inc.","BTV","Burlington, VT: Burlington International",50.00,2.00,0.00,0.36,1.64,0.00,0.00,0.00,3.00,129.00,0.00,36.00,93.00,0.00,0.00,
2021,2,"9E","Endeavor Air Inc.","BWI","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",42.00,9.00,2.39,0.00,6.61,0.00,0.00,2.00,0.00,394.00,198.00,0.00,196.00,0.00,0.00,
2021,2,"9E","Endeavor Air Inc.","CAE","Columbia, SC: Columbia Metropolitan",83.00,7.00,2.94,0.00,2.36,0.00,1.71,0.00,0.00,204.00,91.00,0.00,48.00,0.00,65.00,
2021,2,"9E","Endeavor Air Inc.","CHA","Chattanooga, TN: Lovell Field",178.00,10.00,5.23,0.00,2.00,0.00,2.77,0.00,0.00,410.00,141.00,0.00,99.00,0.00,170.00,
2021,2,"9E","Endeavor Air Inc.","CHO","Charlottesville, VA: Charlottesville Albemarle",70.00,7.00,3.00,2.69,1.23,0.00,0.08,2.00,1.00,893.00,87.00,700.00,52.00,0.00,54.00,
2021,2,"9E","Endeavor Air Inc.","CID","Cedar Rapids/Iowa City, IA: The Eastern Iowa",22.00,2.00,0.92,0.00,1.08,0.00,0.00,0.00,2.00,94.00,65.00,0.00,29.00,0.00,0.00,
2021,2,"9E","Endeavor Air Inc.","CLE","Cleveland, OH: Cleveland-Hopkins International",22.00,2.00,0.87,0.00,0.00,0.00,1.13,3.00,0.00,289.00,183.00,0.00,0.00,0.00,106.00,
2021,2,"9E","Endeavor Air Inc.","CLT","Charlotte, NC: Charlotte Douglas International",50.00,2.00,0.00,1.00,0.31,0.00,0.69,5.00,0.00,139.00,0.00,68.00,22.00,0.00,49.00,
2021,2,"9E","Endeavor Air Inc.","CMH","Columbus, OH: John Glenn Columbus International",84.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,
2021,2,"9E","Endeavor Air Inc.","CRW","Charleston/Dunbar, WV: Yeager",98.00,11.00,3.33,5.51,0.90,0.00,1.25,1.00,2.00,2572.00,235.00,2062.00,91.00,0.00,184.00,
2021,2,"9E","Endeavor Air Inc.","CSG","Columbus, GA: Columbus Airport",78.00,7.00,3.11,0.84,3.05,0.00,0.00,0.00,0.00,326.00,183.00,53.00,90.00,0.00,0.00,
2021,2,"9E","Endeavor Air Inc.","CVG","Cincinnati, OH: Cincinnati/Northern Kentucky International",322.00,37.00,11.32,0.91,19.46,0.00,5.31,9.00,0.00,2153.00,600.00,699.00,535.00,0.00,319.00,
2021,2,"9E","Endeavor Air Inc.","CWA","Mosinee, WI: Central Wisconsin",70.00,8.00,1.00,2.86,3.07,0.00,1.08,0.00,0.00,2715.00,44.00,2297.00,243.00,0.00,131.00,
2021,2,"9E","Endeavor Air Inc.","DAY","Dayton, OH: James M Cox/Dayton International",164.00,11.00,3.36,0.79,4.21,0.00,2.64,2.00,0.00,450.00,164.00,67.00,140.00,0.00,79.00,
2021,2,"9E","Endeavor Air Inc.","DCA","Washington, DC: Ronald Reagan Washington National",14.00,3.00,1.00,0.73,0.27,0.00,1.00,1.00,0.00,197.00,32.00,19.00,7.00,0.00,139.00,
2021,2,"9E","Endeavor Air Inc.","DFW","Dallas/Fort Worth, TX: Dallas/Fort Worth International",22.00,6.00,0.00,0.00,6.00,0.00,0.00,1.00,0.00,267.00,0.00,0.00,267.00,0.00,0.00,
2021,2,"9E","Endeavor Air Inc.","DHN","Dothan, AL: Dothan Regional",78.00,9.00,4.79,2.00,1.21,0.00,1.00,0.00,0.00,1356.00,233.00,980.00,105.00,0.00,38.00,
2021,2,"9E","Endeavor Air Inc.","DLH","Duluth, MN: Duluth International",28.00,3.00,1.30,0.00,1.70,0.00,0.00,0.00,1.00,230.00,157.00,0.00,73.00,0.00,0.00,
2021,2,"9E","Endeavor Air Inc.","DSM","Des Moines, IA: Des Moines International",201.00,14.00,3.00,0.80,8.94,0.00,1.26,0.00,0.00,765.00,171.00,196.00,336.00,0.00,62.00,
2021,2,"9E","Endeavor Air Inc.","DTW","Detroit, MI: Detroit Metro Wayne County",1960.00,212.00,40.76,8.65,98.04,0.00,64.55,57.00,3.00,17535.00,3291.00,1936.00,3362.00,0.00,8946.00,
2021,2,"9E","Endeavor Air Inc.","ECP","Panama City, FL: Northwest Florida Beaches International",78.00,7.00,3.26,0.87,1.69,0.00,1.19,0.00,0.00,289.00,174.00,13.00,48.00,0.00,54.00,
